row,source_id,class_id,class_name,split
0,ASASSN-V_J181219.84-391421.2,0,CEP,train
1,ASASSN-V J033620.17+621714.3,0,CEP,train
2,ASASSN-V J140149.83-572016.5,0,CEP,train
3,ASASSN-V J062049.69+000229.3,0,CEP,train
4,ASASSN-V J174400.30-432523.9,0,CEP,train
5,ASASSN-V_J080517.27-373448.7,0,CEP,train
6,ASASSN-V J050704.18-704135.3,0,CEP,train
7,ASASSN-V J065201.03-124543.8,0,CEP,test
8,ASASSN-V J063052.99+094023.3,0,CEP,train
9,ASASSN-V_J051309.98+415925.9,0,CEP,train
10,ASASSN-V_J210416.83+494439.8,0,CEP,train
11,ASASSN-V J081338.57-424157.2,0,CEP,train
12,ASASSN-V J195748.99+301557.3,0,CEP,train
13,ASASSN-V J065052.28-012545.4,0,CEP,train
14,ASASSN-V_J094110.25-534857.7,0,CEP,test
15,ASASSN-V_J070708.55-074742.5,0,CEP,train
16,ASASSN-V J072541.55-195348.7,0,CEP,test
17,ASASSN-V J005949.05-725151.4,0,CEP,train
18,ASASSN-V J193837.90+172322.8,0,CEP,train
19,ASASSN-V J040732.77+601906.8,0,CEP,train
20,ASASSN-V J005931.56-733557.2,0,CEP,train
21,ASASSN-V_J125343.87-655359.0,0,CEP,train
22,ASASSN-V J153805.11-584139.8,0,CEP,train
23,ASASSN-V J063542.10+020858.8,0,CEP,train
24,ASASSN-V J053048.14-711132.0,0,CEP,train
25,ASASSN-V J044321.06-691348.0,0,CEP,train
26,ASASSN-V_J093526.82-542134.2,0,CEP,train
27,ASASSN-V_J050550.88-673138.1,0,CEP,train
28,ASASSN-V_J082035.70-391503.0,0,CEP,train
29,ASASSN-V_J072626.05+372728.4,0,CEP,train
30,ASASSN-V J172422.46-441650.3,0,CEP,train
31,ASASSN-V J065048.70-075850.4,0,CEP,train
32,ASASSN-V_J082858.46-361355.5,0,CEP,train
33,ASASSN-V J205404.91+083305.3,0,CEP,train
34,ASASSN-V_J071606.26-205300.8,0,CEP,test
35,ASASSN-V_J232912.75+632227.5,0,CEP,train
36,ASASSN-V J071344.39-214327.2,0,CEP,train
37,ASASSN-V J045048.46-690506.4,0,CEP,train
38,ASASSN-V J080027.44-331911.9,0,CEP,train
39,ASASSN-V_J024443.31+612752.9,0,CEP,train
40,ASASSN-V J181610.70-334455.8,0,CEP,train
41,ASASSN-V_J110114.37-600659.6,0,CEP,train
42,ASASSN-V_J233320.29+610708.7,0,CEP,train
43,ASASSN-V J050456.40-653626.5,0,CEP,train
44,ASASSN-V J113334.91-504904.2,0,CEP,train
45,ASASSN-V J000145.97+622526.9,0,CEP,train
46,ASASSN-V J113317.69-631432.6,0,CEP,test
47,ASASSN-V_J105135.76-592306.0,0,CEP,train
48,ASASSN-V_J054229.26+373846.8,0,CEP,train
49,ASASSN-V J012142.38+614607.2,0,CEP,train
50,ASASSN-V J115056.60-650826.2,0,CEP,train
51,ASASSN-V_J024419.40+644557.3,0,CEP,train
52,ASASSN-V J002407.10-735625.4,0,CEP,test
53,ASASSN-V J004348.47-733648.3,0,CEP,train
54,ASASSN-V J132740.80-795733.9,0,CEP,train
55,ASASSN-V J052017.36-675653.4,0,CEP,train
